@relation LRO_4class_10

@attribute Roll numeric
@attribute Pitch numeric

@attribute class {LC,LI,RC,RI}

@data
43.10193126,-87.05245256,LC
41.23378293,-85.42711224,LC
38.16422560,-82.89839815,LC
35.44912861,-82.79896658,LC
33.25257574,-81.50197191,LC
29.76762244,-77.77627519,LC
28.29487585,-74.70391355,LC
28.10313124,-75.67913884,LC
26.93041540,-76.60176431,LC
29.97829275,-76.88680949,LC
34.49930940,-79.82998800,LC
38.31113856,-82.09116888,LC
46.24091432,-85.11576874,LC
46.95136368,-86.92523029,LC
48.54272101,-89.09044062,LC
49.61278014,-85.47105817,LC
49.34052977,-87.10317591,LC
51.87212745,-90.13841072,LC
51.05757464,-89.54564572,LC
50.85108710,-88.62604054,LC
51.16712935,-88.21136186,LC
51.11167870,-88.68190418,LC
46.73672516,-87.47221304,LC
46.91482587,-87.29002433,LC
46.87169380,-87.18782021,LC
46.79293858,-91.66247853,LC
47.75937698,-91.90524533,LC
46.92395063,-90.12860851,LC
49.55992327,-91.49960222,LC
50.52207836,-93.03539557,LC
50.32816850,-92.01732071,LC
50.51450253,-91.56721424,LC
50.69830882,-91.34821279,LC
50.93070629,-89.84846008,LC
51.75529189,-89.72489037,LC
52.05963957,-89.55659885,LC
52.55429698,-90.69225975,LC
52.74844075,-91.33538679,LC
50.84172741,-89.39016415,LC
48.19513370,-88.60974508,LC
47.23359947,-89.11308903,LC
46.50897762,-86.42503468,LC
47.85888806,-80.60330148,LC
47.91711618,-73.55091655,LC
48.39407421,-65.94120924,LC
49.01898613,-57.11106023,LC
46.08123066,-45.87570765,LC
45.53791286,-36.60048886,LC
45.20311279,-26.32976217,LC
47.61879358,-16.46211995,LC
47.54279285,-8.38514432,LC
48.69064339,-3.34493317,LC
50.64751448,-1.51112483,LC
49.76210015,0.17337716,LC
47.26598343,-0.10542231,LC
44.63691186,-0.08202132,LC
46.55574346,1.32922348,LC
46.68215818,1.60768967,LC
47.40336757,1.77910739,LC
44.77514037,1.39007644,LC
41.51857262,1.33927746,LC
38.66511335,1.49194161,LC
35.25816788,1.11107236,LC
35.88223939,1.45963690,LC
36.61526889,1.90664851,LC
37.95289000,1.65031230,LC
37.03962460,1.15403396,LC
36.68274967,0.17821107,LC
35.18428731,-5.68932845,LC
31.61596908,-13.84326027,LC
27.29966901,-23.50005503,LC
21.82359259,-32.57522585,LC
15.18869873,-41.13152819,LC
9.37069643,-48.78147953,LC
3.37758852,-55.51227431,LC
-3.12420091,-62.73343778,LC
-8.39149709,-69.44513758,LC
-13.96515267,-74.38325041,LC
-15.77241284,-75.62562885,LC
25.45753818,-63.79640394,LC
33.39705565,-62.20465677,LC
44.48928283,-55.43119103,LC
54.16792029,-53.23474876,LC
60.85145288,-57.18616470,LC
60.11934324,-57.55420093,LC
62.05393452,-62.81686878,LC
66.17340529,-68.52952548,LC
72.79803817,-68.09458543,LC
72.29598544,-65.19978943,LC
77.04373311,-73.20009356,LC
82.03759780,-89.24895864,LC
83.03858212,-100.72804063,LC
82.26468710,-96.79819577,LC
79.80734976,-77.24622450,LC
81.95630700,-95.42428533,LC
81.12119656,-101.83983023,LC
76.90332843,-84.61740811,LC
75.78426796,-75.43425419,LC
74.52088867,-63.81839755,LC
73.47115425,-53.29580984,LC
67.84183868,-40.09872316,LC
62.32763595,-37.97410699,LC
57.66533355,-33.95224470,LC
54.94333256,-28.68630819,LC
48.42409363,-23.04526199,LC
44.19853470,-17.84057159,LC
44.80072744,-11.43092026,LC
42.43965372,-9.00601238,LC
41.16332813,-8.62224270,LC
38.00648958,-7.86578651,LC
37.94251641,-7.14455899,LC
40.34113329,-4.64274043,LC
40.70555640,-1.95551762,LC
39.85239228,-1.23545873,LC
38.33288221,-1.19390577,LC
39.48683191,-6.61453343,LC
39.60956830,-12.38391832,LC
43.22715325,-18.11883975,LC
45.84238328,-24.97778119,LC
44.82817375,-36.08896327,LC
49.41445672,-39.95922099,LC
44.87856562,-48.77441370,LC
42.14962002,-57.45597402,LC
42.82796094,-66.59518814,LC
44.07797093,-75.85271722,LC
46.09008410,-75.88900705,LC
46.71456231,-77.08870689,LC
46.43848362,-77.32088216,LC
47.93596472,-79.34325702,LC
51.81144896,-80.70470718,LC
49.39551250,-81.16102260,LC
50.18370700,-82.15114867,LC
48.58050953,-82.13224247,LC
44.64169120,-81.04166321,LC
40.89657315,-79.90980558,LC
37.62063612,-79.12824341,LC
34.89059146,-78.97126385,LC
31.41436411,-77.86228126,LC
29.06016332,-73.24738813,LC
26.76126496,-72.02325719,LC
24.64594513,-71.27870912,LC
26.82924924,-70.85775320,LC
27.07042400,-71.18094369,LC
29.71503722,-69.09636579,LC
32.12588422,-63.48249306,LC
38.21824642,-61.40613946,LC
41.68582532,-58.17411072,LC
45.02515956,-54.71706096,LC
47.34155177,-57.26833210,LC
53.34989195,-51.42863741,LC
55.07758744,-34.68215694,LC
51.66823068,-19.47941011,LC
46.81476935,-4.12409381,LC
42.24995393,1.10532938,LC
41.76623982,2.94754423,LC
36.40122319,2.20797412,LC
35.52249109,1.57081478,LC
37.71650077,1.94937852,LC
39.39446452,3.13796416,LC
41.40158356,3.57571830,LC
42.28077015,3.95106912,LC
41.92683238,4.68544099,LC
45.18816118,6.09893221,LC
45.80528576,6.84247371,LC
46.14865442,7.02540389,LC
44.73235033,6.36121392,LC
44.39477322,5.44249968,LC
42.43181644,4.03966027,LC
40.38481332,2.53957461,LC
36.39973798,2.39767333,LC
34.99380539,2.52454858,LC
35.03550848,2.01966159,LC
35.00044709,2.89213773,LC
37.77926247,2.12598650,LC
37.81126005,1.84530506,LC
38.71494523,2.67978190,LC
39.09859953,3.56931569,LC
38.95094321,4.92038642,LC
38.87128117,5.52821459,LC
39.80522069,4.76735552,LC
41.79165523,-0.11881696,LC
41.69544252,-2.66940286,LC
39.79172319,-3.27333971,LC
37.63196227,-2.15771201,LC
37.85840471,-2.60829611,LC
38.43617124,-3.03162203,LC
39.52583509,-3.07899654,LC
39.81647145,-3.39719746,LC
40.00170124,-3.81360507,LC
40.04528634,-3.08742395,LC
38.82667050,1.74304379,LC
39.38447685,3.74424321,LC
39.79017769,4.30685409,LC
38.92312142,3.66332253,LC
38.08280519,5.23537008,LC
36.75633877,4.92994877,LC
35.30265725,4.09279989,LC
34.02915118,3.71350257,LC
32.96670728,3.58755911,LC
30.91574523,3.11220761,LC
31.68195862,2.93805578,LC
29.30887934,2.51491157,LC
27.88852695,1.54606862,LC
27.38122519,1.20480737,LC
28.33322432,-0.07268913,LC
28.81739960,-0.00685462,LC
28.24723459,-3.29881171,LC
29.73289358,-6.62621637,LC
31.24194409,-7.41801102,LC
32.31332426,-10.59327097,LC
29.48655582,-14.30347736,LC
29.18654243,-19.02417085,LC
30.80743672,-20.28166088,LC
34.15449766,-24.98881181,LC
35.94388665,-30.76508523,LC
34.40200452,-40.33327301,LC
36.35384007,-44.03475587,LC
35.39578408,-47.98957923,LC
32.29307799,-54.89903295,LC
30.07371075,-59.93555111,LC
30.59528112,-63.84705564,LC
32.27621691,-66.69910513,LC
28.47458499,-74.56466178,LC
23.96741428,-75.47797127,LC
20.93869710,-77.45596773,LC
23.08816053,-78.87009272,LC
21.00088762,-80.58348161,LC
21.98149841,-82.45212629,LC
24.11538803,-85.05571618,LC
24.87988757,-86.16146671,LC
29.64949547,-89.65131339,LC
29.94200981,-88.59973018,LC
31.87867593,-85.75348467,LC
34.78090441,-83.84804921,LC
38.98016419,-77.79253236,LC
44.56007911,-78.83400453,LC
53.91268933,-86.82128427,LC
62.09084923,-97.63203416,LC
70.56728116,-115.16792794,LC
74.69975285,-152.51684165,LC
75.62286367,-175.77686746,LC
76.95011210,168.75072705,LC
75.08884183,158.43120489,LC
66.62217422,146.34050182,LC
59.22945675,146.65293502,LC
57.26671878,138.99499409,LC
61.83895888,136.95212719,LC
68.52669973,130.33681788,LC
75.26071149,121.77571444,LC
78.54248518,101.15737819,LC
81.72403818,79.35329964,LC
83.14475421,73.43668845,LC
87.25793889,57.02774410,LC
80.39670827,-24.24516184,LC
69.54556466,-15.08236312,LC
61.92441526,-16.74625457,LC
55.28681771,-16.79798475,LC
50.99091628,-10.30953105,LC
44.69147620,-3.02655905,LC
36.39059532,-2.51639731,LC
27.33244307,-2.46700610,LC
21.45734125,-0.38249370,LC
15.38273401,3.73805440,LC
11.05672903,5.27264228,LC
10.15939863,5.91868199,LC
9.00457273,5.46561108,LC
6.95882559,8.11641051,LC
4.77255354,8.18663131,LC
4.19613755,7.54035020,LC
4.18587705,7.75690924,LC
4.41418339,8.15069274,LC
5.05225918,6.63543889,LC
9.26702570,3.87515596,LC
29.72459974,-71.95025670,LC
28.88189102,-75.05364447,LC
28.33427688,-77.63174096,LC
27.66025454,-78.86607748,LC
24.66372266,-81.31039436,LC
21.78427777,-80.13358470,LC
21.49050844,-80.02299148,LC
20.66488232,-79.62246542,LC
20.21743562,-79.04009637,LC
23.73872679,-76.19523274,LC
25.71997295,-74.79690243,LC
25.03681364,-73.76702409,LC
28.67947303,-69.38714529,LC
31.78680477,-63.95622479,LC
31.17568751,-55.19627436,LC
34.61641615,-46.84108983,LC
36.95260597,-37.48160086,LC
