@relation LR_2class_1

@attribute Roll numeric
@attribute Pitch numeric

@attribute class {L,R}

@data
49.36268017,-104.78279448,L
45.71465964,-79.08412173,L
30.78661075,-83.64739954,L
32.53296354,-71.57823613,L
19.37655475,-76.55022799,L
21.56675464,-72.70135384,L
18.16311228,-70.68172335,L
42.37529098,-84.05525086,L
40.18866079,-73.96251932,L
28.93133266,-81.27636640,L
35.30367939,-79.99806550,L
45.99414897,-88.24425896,L
51.48951148,-100.47579177,L
73.42619294,-110.15706731,L
72.74024896,-128.38617176,L
51.49443593,-96.91648584,L
41.89620139,-46.17450373,L
40.00633220,-84.65656379,L
56.92800030,-104.18844775,L
37.37850762,-88.06569283,L
23.00044257,-77.99380768,L
53.82217215,-82.12440667,L
51.77414439,-94.99138471,L
51.57026601,-95.33363069,L
50.54962675,-95.81678269,L
50.35973475,-97.31114429,L
50.41620778,-98.83564409,L
50.57457695,-96.98894884,L
48.52797699,-84.99942341,L
49.42675420,-89.01759002,L
48.76917375,-86.34990677,L
48.72607677,-86.69226182,L
53.92274961,-87.59435100,L
53.46373251,-91.33316733,L
53.07657938,-90.33455500,L
57.22383436,-88.91353150,L
55.77246887,-94.37234391,L
53.63989041,-107.26107894,L
52.27184732,-90.31250175,L
39.05242901,-80.02374730,L
25.36876590,-82.34015094,L
29.93437113,-85.72915113,L
48.68761288,-67.76787200,L
46.12795198,-42.74210082,L
47.31701249,-27.91350824,L
39.35304160,-6.90472334,L
61.39198570,2.78164851,L
28.85887295,-4.81018251,L
35.15589150,-2.43801537,L
39.67400725,4.08591578,L
43.16052318,1.59733129,L
59.79190520,2.65384811,L
85.12386343,87.02584774,L
56.32618140,0.24603289,L
46.55384422,-1.03967172,L
29.06614889,-4.05537800,L
26.04477763,-3.00266002,L
30.96214020,2.23820970,L
60.73913514,17.27190170,L
37.27830219,4.54074446,L
32.73557412,-2.37755115,L
34.28568213,4.18588116,L
37.07552066,2.21201349,L
35.68092304,1.40008429,L
38.01784591,0.01491092,L
34.19194968,-0.43074290,L
38.20240452,-4.07840354,L
32.74223992,-0.18943699,L
42.50302890,0.62807569,L
33.50626268,-35.19366732,L
-17.90664547,-75.91388891,L
-16.73759642,-76.00994276,L
-14.63517326,-76.09006188,L
-15.88892949,-75.12569121,L
-16.02392438,-74.89362620,L
-13.43503700,-76.59071977,L
42.70163965,-9.26942981,L
30.14952961,-79.56072803,L
45.13455974,-83.93438501,L
47.38800977,-20.27648234,L
22.93302056,-64.85188738,L
62.03892343,-34.66776312,L
86.35329089,32.53838546,L
79.97963983,156.39230085,L
82.69877738,-102.55042463,L
56.89915307,-60.01871760,L
64.75817479,-146.92878856,L
79.72785412,-134.97086455,L
72.30776279,-38.86241614,L
77.26782621,-54.95296372,L
77.43928675,-132.00800894,L
79.24469742,63.93935815,L
87.95472619,-137.14427713,L
83.15544273,-48.61034287,L
69.74913553,-94.89201078,L
75.02727030,-167.68994409,L
33.72522717,-80.96352935,L
43.87290751,-71.94360834,L
46.26828275,-7.77808553,L
56.77766122,-9.63567224,L
47.11536869,-7.10545221,L
38.40480249,-13.30924505,L
36.72124369,-16.36590253,L
59.24363466,-14.30506999,L
25.77124124,-6.96334532,L
41.10575142,-5.08644546,L
40.46923011,-11.90405856,L
45.78755774,0.77854715,L
28.37934653,-7.35804507,L
28.09883098,-4.24469663,L
32.61961546,2.05560368,L
51.95996445,-0.40613377,L
60.84862223,28.23937380,L
36.76148485,1.27084374,L
24.43417277,-0.14270047,L
40.03700209,-34.08670225,L
30.23276280,-73.49285316,L
35.68837687,-66.25359567,L
53.06617793,-83.70420269,L
27.41025319,-73.48072163,L
45.41231593,-73.68082068,L
69.51698399,-68.52485808,L
22.99731672,-75.02068982,L
54.36473586,-76.19113274,L
54.32050896,-84.56816444,L
43.03236562,-76.07551400,L
55.73114523,-92.31198944,L
55.76834302,-90.54311999,L
67.88591263,-74.04839307,L
51.60130414,-88.33111526,L
