@relation train_right_selected.arff

@attribute Upper_Stretch numeric
@attribute Rate_of_Change_Max_ numeric
@attribute Rate_of_Change_Min_ numeric
@attribute Respiration_Duration_dist numeric
@attribute Upper_Stretch_dist numeric
@attribute Rate_of_Change_Min__dist numeric
@attribute Lower_Stretch_ratio numeric
@attribute Magnitude_Mean_ numeric
@attribute Wrist_Duration numeric
@attribute Pitch_Median_ numeric
@attribute Roll_Mean_ numeric
@attribute Roll_Median_ numeric
@attribute RStime-WEtime numeric

@attribute class {puff,nonpuff}

@data
414.68884490,29.70523709,-31.17298116,4968.75000000,117.74820194,-8.17467644,1.68856716,157.18093833,1750.00000000,31.30760524,23.11397459,25.46783435,2791.87500000,nonpuff
414.68884490,29.70523709,-31.17298116,4968.75000000,117.74820194,-8.17467644,1.68856716,119.16398744,437.50000000,37.17257026,26.43522951,26.80004549,-145.62500000,nonpuff
537.35316543,28.80972676,-31.38151970,1734.37500000,240.41252246,-8.73344504,0.98119521,78.92690150,4750.00000000,50.05419524,10.01147323,7.36217743,1135.62500000,nonpuff
323.80548902,19.36699491,-20.04422418,-445.31250000,-9.01586340,1.70124383,0.66770277,56.19546533,2375.00000000,62.68782579,18.38056030,20.48545748,-1350.62500000,nonpuff
437.92474740,44.26735594,-21.98237193,164.06250000,135.76718697,-0.83693814,2.37360337,14.17248642,4687.50000000,52.85401569,-20.32242821,-20.61511449,5883.75000000,nonpuff
137.34021182,45.06143647,-13.93407215,1031.25000000,-104.23488482,5.00087686,3.01568335,48.94607696,4687.50000000,52.56184836,-53.05199340,-54.76682426,1602.50000000,nonpuff
1268.86366127,66.83752728,-48.32496636,5906.25000000,932.43292894,-25.60127024,1.67198272,69.76681064,3187.50000000,48.04516802,63.64729744,61.87889297,-1854.25000000,puff
1185.23261233,58.99178528,-53.42269916,773.43750000,950.36392622,-29.03239414,0.70450621,148.81996154,4000.00000000,59.55361953,87.79638036,87.48938502,-198.00000000,puff
822.57183457,47.27796265,-36.86335725,1382.81250000,509.76156976,-5.64573589,0.59324577,429.62345187,2625.00000000,61.76470545,72.65683800,72.56338124,-182.37500000,puff
904.79034156,40.08038096,-47.37166881,2437.50000000,622.27400002,-17.36188512,1.84195589,178.99721209,2187.50000000,64.50391033,77.40898085,77.19783817,-1244.87500000,puff
959.23274766,38.83954023,-50.56632622,1640.62500000,756.99267017,-26.72175729,1.22138338,178.21238587,2375.00000000,66.05921149,58.13692803,58.45163205,-541.75000000,puff
986.68117375,37.22499033,-50.10848739,3562.50000000,738.80149215,-25.41625784,2.43273648,126.69992200,2750.00000000,65.95622023,63.66795966,61.50956252,-1744.87500000,puff
807.04435048,30.99035342,-46.08397836,3585.93750000,550.97831396,-22.74685670,1.66801473,154.04487456,2437.50000000,66.89027378,63.96940541,63.36254385,-1526.12500000,puff
1030.54555289,44.44485858,-47.71947124,2953.12500000,740.53338124,-21.64780505,1.51180482,106.60059795,2687.50000000,65.88705512,69.27038596,66.32069823,-1244.87500000,puff
1335.85323130,65.51169777,-54.02173295,3679.68750000,1004.11730692,-28.75125118,1.57551654,152.58050052,3250.00000000,64.15554312,68.43700524,66.51573981,-2338.62500000,puff
1102.17951703,60.86532038,-48.45935597,3300.06250000,846.86515575,-23.23977310,1.58926198,125.17602940,3625.00000000,67.65055005,66.29317714,65.05287694,-2376.25000000,puff
1281.68110129,56.22118370,-58.40428021,3656.25000000,1027.05598310,-33.73927878,2.04724293,129.33973587,3312.50000000,66.57449992,72.50694479,69.42478105,-1985.62500000,puff
1165.83864471,60.20223017,-61.38292827,3140.62500000,884.50911086,-37.22404308,1.68766459,130.98616711,2437.50000000,67.31801386,83.76051549,80.86654823,-1485.62500000,puff
202.51526338,45.74168543,-4.52687036,-703.12500000,-141.96781233,25.19782519,1.72548132,298.58745711,1062.50000000,48.06198970,103.47836347,101.63561903,655.00000000,nonpuff
803.78376568,51.97883335,-38.64726425,1476.56250000,442.09852327,-9.21683094,0.90843276,417.33854324,2375.00000000,36.81904322,105.65642163,101.35218401,936.25000000,nonpuff
376.41750156,33.85311843,-29.60600477,-351.56250000,14.73225916,-0.17557146,0.93486866,379.33138991,562.50000000,57.36768834,100.65713355,98.83573005,139.37500000,nonpuff
478.42272658,36.52349358,-25.50922552,890.62500000,186.84015374,-7.66675123,1.56319554,165.76386189,1875.00000000,57.48730202,-28.47090803,-28.82959980,-31.50000000,nonpuff
125.80374292,18.25026751,-19.01246311,-1101.56250000,-202.68180304,4.43085930,1.25412630,102.51262496,3625.00000000,52.71182807,151.88655996,151.67064484,1876.75000000,nonpuff
307.10774228,27.29040374,-25.83993928,70.31250000,-21.37780367,-1.69334646,1.27162699,40.64779563,3875.00000000,65.58300884,91.30115724,91.88794477,-748.25000000,nonpuff
245.61850327,34.70187094,-18.22954625,492.18750000,-105.94795511,5.80656340,3.23888052,175.02951065,312.50000000,40.17876191,-50.62244148,-50.86066220,684.12500000,nonpuff
289.23271156,23.95519426,-19.16125532,-1125.00000000,-57.15209353,4.75938301,1.04539351,96.89965508,3750.00000000,76.70256580,91.01269951,91.21596082,4875.12500000,nonpuff
473.01326598,24.84142176,-25.29258645,2250.00000000,126.62846088,-1.37194812,0.59708050,57.76929904,3437.50000000,74.66411738,79.08177642,77.73153860,3031.37500000,nonpuff
973.39799600,37.25063428,-32.31832057,3351.56250000,680.01449787,-10.74789297,0.97302737,197.95138779,937.50000000,61.17683303,1.10636628,3.59293355,2859.50000000,nonpuff
360.18723536,16.89908055,-30.50613568,-984.37500000,94.59740798,-10.48283064,1.06444211,92.85281873,875.00000000,35.93118304,67.00795743,67.87420740,1570.75000000,nonpuff
360.18723536,16.89908055,-30.50613568,-984.37500000,94.59740798,-10.48283064,1.06444211,160.83444384,2250.00000000,40.23770328,60.19918100,62.46667312,-1366.75000000,nonpuff
194.01053603,18.24403892,-24.23670323,-328.12500000,-104.92749021,-4.21339819,1.97983705,59.16053335,812.50000000,39.65598912,67.07546436,67.19497762,883.25000000,nonpuff
120.53763838,13.19281231,-14.06514324,-843.75000000,-50.43343802,0.33300206,0.93864772,104.78807531,625.00000000,56.88643504,46.58237234,48.86228091,791.25000000,nonpuff
809.27729507,39.61163185,-28.08263688,3515.62500000,591.21226992,-13.56577993,1.29366063,316.05663576,2187.50000000,53.74313326,56.90072576,50.63327725,947.50000000,nonpuff
301.19589369,38.15306842,-27.32136404,984.37500000,-33.37593795,9.38014687,1.90281594,91.64878467,3625.00000000,44.38775556,68.29462752,67.40812670,511.12500000,nonpuff
1313.84682341,71.98910790,-66.41479713,4734.37500000,798.04588546,-27.52944466,1.34038097,142.73520717,3687.50000000,55.11831500,87.89899464,87.85627363,-3754.50000000,puff
1039.57158654,53.55813111,-50.96234984,3023.43750000,523.77064859,-8.01270099,1.54545628,148.65583193,3250.00000000,58.95853840,70.48032868,68.85414604,-1551.37500000,puff
1121.35281081,48.30265980,-34.23565371,2906.25000000,625.07287507,-1.46473334,0.66050037,143.56130284,2750.00000000,50.57519662,93.14532366,91.26261004,-1766.75000000,puff
983.80525864,55.11874121,-52.86012497,2484.37500000,665.07880699,-28.70788602,1.13194448,83.67995331,2937.50000000,58.55307715,108.50515634,105.46233407,-1766.75000000,puff
64.45656293,14.93851626,-28.32576229,2812.50000000,-161.89735249,-5.57925248,1.80029921,101.04054669,3312.50000000,39.54273611,22.92539388,26.09423050,995.62500000,nonpuff
293.76791908,0.33463261,-39.45476281,-1171.87500000,18.24591615,-15.40196166,1.61848861,238.81057779,3000.00000000,31.99856806,6.67964209,6.85578457,89.37500000,nonpuff
-9.93255547,12.15787849,-14.91498443,1265.62500000,-323.40541105,9.06176805,2.02228131,281.62582294,4125.00000000,30.95686905,17.82412715,14.99098571,327.50000000,nonpuff
416.16473247,25.47998765,-27.58245898,-984.37500000,63.39366080,-3.93915499,0.64604485,196.67057979,2187.50000000,31.59254498,14.96804007,14.19320063,-172.50000000,nonpuff
318.39741706,16.35309721,-18.19926866,1476.56250000,-42.78682585,5.44403533,0.80838027,208.19928545,2312.50000000,31.20038667,13.97198632,13.71736712,530.62500000,nonpuff
676.42374860,41.25318590,-20.93432501,1500.00000000,470.71470325,2.49917593,1.00091918,143.53673388,1375.00000000,35.89473030,15.87334847,16.66079303,3093.12500000,nonpuff
1544.54182761,72.88925111,-39.89542473,7312.50000000,1330.66001816,-15.99274949,2.24660243,280.26842969,3500.00000000,38.71441405,110.83181721,110.13707741,-1953.75000000,nonpuff
821.84812753,38.76327179,-39.96614107,750.00000000,516.88727012,-13.12432741,1.00000000,388.17565847,937.50000000,54.66244904,101.51061684,105.04116236,890.00000000,nonpuff
1205.67597552,68.32902150,-40.74097854,2109.37500000,876.73296543,-14.42391998,1.76457138,140.95791380,875.00000000,39.78001895,-49.92645871,-51.91434095,-1297.50000000,nonpuff
740.89320065,48.91161242,-40.77648553,2250.00000000,398.07379567,-13.56273482,2.09890723,127.26541361,687.50000000,34.54723710,-53.71201572,-54.92022667,-1016.25000000,nonpuff
911.28549740,53.57365088,-33.12737736,3257.81250000,568.46609242,-5.00163331,2.14902917,114.22241760,875.00000000,33.70830800,-59.31535073,-59.36361266,-1141.25000000,nonpuff
109.23427436,26.33074806,-7.71843103,1476.56250000,-224.65538642,19.82902435,2.70079546,93.26118477,1625.00000000,32.42667129,33.67192540,33.27019910,5936.87500000,nonpuff
500.60676050,50.87068524,-34.41262819,1054.68750000,240.92947767,-13.80310073,2.02648113,231.17131296,500.00000000,56.06504482,101.14779408,101.94492539,-39.00000000,nonpuff
206.47334384,15.58260748,-29.62069535,-117.18750000,-0.07657079,-9.78210234,1.56103548,174.00268681,1375.00000000,50.12666980,79.46571463,77.40246311,1914.12500000,nonpuff
500.45653613,23.88010204,-27.57032607,562.50000000,293.90662150,-6.54914509,0.86572552,170.60491409,1312.50000000,34.16338185,48.19386686,49.21290713,-273.37500000,nonpuff
361.32195088,29.77997968,-10.97245124,937.50000000,36.42641580,13.26370987,1.02698376,265.63631241,3062.50000000,68.09809155,65.70549181,68.85282991,2632.87500000,nonpuff
361.32195088,29.77997968,-10.97245124,937.50000000,36.42641580,13.26370987,1.02698376,229.40600816,3437.50000000,65.78451725,14.35300685,13.19438480,-1179.62500000,nonpuff
802.91146727,50.45407488,-33.82607805,1429.68750000,550.32040774,-10.99322685,2.17080764,547.45704496,1312.50000000,58.70437831,78.70989385,82.69390477,1148.50000000,nonpuff
443.37886492,23.97530508,-19.85660134,6843.75000000,219.80071666,-1.09407535,1.88573057,156.08699355,3250.00000000,45.94790379,-57.21508487,-56.95363745,-4304.37500000,nonpuff
95.04970263,10.58590286,-24.85514492,-1101.56250000,-118.00236274,-7.33016233,1.64882592,247.43431391,2125.00000000,42.95405320,-52.97330207,-53.11633628,1961.25000000,nonpuff
95.04970263,10.58590286,-24.85514492,-1101.56250000,-118.00236274,-7.33016233,1.64882592,186.52447925,937.50000000,48.68202658,36.40084866,34.86541714,23.75000000,nonpuff
19.14500906,21.86525018,-19.40980645,0.00000000,-204.43313919,-2.71779488,1.70215272,174.73509775,375.00000000,40.17131486,22.45735749,21.38645406,476.87500000,nonpuff
134.69671308,12.88433134,-9.75726123,-304.68750000,-26.88905505,4.57648877,1.00000000,70.01898430,2312.50000000,45.74730809,-67.88878136,-67.67048334,-663.75000000,nonpuff
167.59932090,8.07360229,-12.99952148,539.06250000,6.01355277,0.47329602,0.82707023,96.15251019,3625.00000000,45.17143869,-13.15672131,-17.55578894,-616.87500000,nonpuff
