@relation train_right.arff

@attribute Inspiration_Duration numeric
@attribute Expiration_Duration numeric
@attribute Respiration_Duration numeric
@attribute IE_Ratio numeric
@attribute Stretch numeric
@attribute Upper_Stretch numeric
@attribute Lower_Stretch numeric
@attribute Rate_of_Change_Max_ numeric
@attribute Rate_of_Change_Min_ numeric
@attribute Inspiration_Duration_dist numeric
@attribute Expiration_Duration_dist numeric
@attribute Respiration_Duration_dist numeric
@attribute IE_Ratio_dist numeric
@attribute Stretch_dist numeric
@attribute Upper_Stretch_dist numeric
@attribute Lower_Stretch_dist numeric
@attribute Rate_of_Change_Max__dist numeric
@attribute Rate_of_Change_Min__dist numeric
@attribute Inspiration_Duration_ratio numeric
@attribute Expiration_Duration_ratio numeric
@attribute Respiration_Duration_ratio numeric
@attribute IE_Ratio_ratio numeric
@attribute Stretch_ratio numeric
@attribute Upper_Stretch_ratio numeric
@attribute Lower_Stretch_ratio numeric
@attribute Rate_of_Change_Max__ratio numeric
@attribute Rate_of_Change_Min__ratio numeric
@attribute Magnitude_Mean_ numeric
@attribute Magnitude_Median_ numeric
@attribute Magnitude_STD_ numeric
@attribute Magnitude_Quartile_ numeric
@attribute Wrist_Duration numeric
@attribute Pitch_Mean_ numeric
@attribute Pitch_Median_ numeric
@attribute Pitch_STD_ numeric
@attribute Pitch_Quartile_ numeric
@attribute Roll_Mean_ numeric
@attribute Roll_Median_ numeric
@attribute Roll_STD_ numeric
@attribute Roll_Quartile_ numeric
@attribute RStime-WStime numeric
@attribute REtime-WStime numeric
@attribute RStime-WEtime numeric
@attribute REtime-WEtime numeric
@attribute RPStime-WEtime numeric

@attribute class {puff,nonpuff}

@data
2718.75000000,2765.62500000,5484.37500000,0.98305085,1702.34091049,1124.43624943,-577.90466107,63.92609423,-43.90659338,1617.18750000,1757.81250000,3070.31250000,-0.00847458,1165.41862946,866.84796066,-274.82246067,46.39252644,-24.15338495,2.46808511,2.74418605,2.27184466,0.99145299,3.17055367,4.36524601,1.90675883,3.64592620,2.22275756,22.22075735,17.50667987,12.62922827,19.77521959,2000.00000000,63.85226134,64.31841886,1.91213012,0.63901669,57.86510283,57.93718647,2.70620181,2.82427625,930.12500000,6414.50000000,-1069.87500000,4414.50000000,1648.87500000,puff
3093.75000000,2906.25000000,6000.00000000,1.06451613,1463.74233223,1004.80983453,-458.93249769,44.71948653,-35.77127968,2039.06250000,1500.00000000,3609.37500000,0.19090723,988.25801985,819.54679219,-133.62422677,30.09989323,-19.09369956,2.93333333,2.06666667,2.50980392,1.21852711,3.07842403,5.42369283,1.41076185,3.05887350,2.14487230,61.20494254,13.82791714,88.97066873,72.95938262,2437.50000000,63.14755147,63.32986142,1.18933641,0.76291733,80.05975191,80.01953344,1.28013283,0.82976698,1305.12500000,7305.12500000,-1132.37500000,4867.62500000,1961.37500000,puff
3468.75000000,890.62500000,4359.37500000,3.89473684,1530.56308391,1098.55609343,-432.00699048,54.79531445,-50.09520714,2437.50000000,-445.31250000,1968.75000000,2.92130231,1018.89059108,901.45499859,-62.10227625,40.17572115,-30.35937959,3.36363636,0.66666667,1.82352941,4.00102596,2.99129444,5.57356667,1.16788723,3.74807379,2.53828764,28.41366550,19.85493786,23.96533316,22.62404020,2687.50000000,65.05055337,64.78176704,1.14536119,0.76591633,64.21530163,64.08572028,2.64543508,1.95407402,805.12500000,5164.50000000,-1882.37500000,2477.00000000,1586.37500000,puff
5343.75000000,1828.12500000,7171.87500000,2.92307692,1469.67212230,1079.36480095,-390.30732135,55.39617803,-42.88057231,4382.81250000,445.31250000,4781.25000000,2.04072398,971.65687523,849.10381578,-0.69250342,40.31093988,-22.48260830,5.56097561,1.32203390,3.00000000,3.31282051,2.95105849,4.68757137,1.00177741,3.67221104,2.10219865,20.19732011,12.87789168,20.90958654,14.51629455,4562.50000000,65.28596305,65.19918500,0.67903485,0.53941051,77.97784412,77.65434060,2.59614729,2.56936464,820.75000000,7992.62500000,-3741.75000000,3430.12500000,1602.00000000,puff
6843.75000000,1593.75000000,8437.50000000,4.29411765,1137.18351585,724.22532766,-412.95818819,34.52380396,-35.03293225,5835.93750000,609.37500000,6398.43750000,3.18935574,623.77248633,478.22110932,-90.62639252,17.46939815,-16.00008674,6.79069767,1.61904762,4.13793103,3.88691684,2.21495732,2.94395491,1.28115871,2.02433344,1.84065658,16.29559327,10.72266681,20.86829262,9.24189883,5750.00000000,69.23667331,69.22511407,0.56689316,0.82491960,68.58667119,68.65761599,2.06731916,2.42947717,1055.12500000,9492.62500000,-4694.87500000,3742.62500000,2148.87500000,puff
1265.62500000,1171.87500000,2437.50000000,1.08000000,690.68976669,279.65452125,-411.03524544,28.34078325,-32.00937474,164.06250000,117.18750000,-117.18750000,-0.01555556,-88.00076146,-122.23029487,15.83221918,-1.02053209,-1.77400701,1.14893617,1.11111111,0.95412844,0.98580122,0.88698879,0.69585740,0.96291069,0.96524229,1.05867324,436.25375008,432.53163730,240.89805682,345.82356086,937.50000000,47.86273537,47.27720869,5.29673004,6.04521884,112.94803627,112.93303359,8.37900571,7.19609957,3565.25000000,6002.75000000,2627.75000000,5065.25000000,3893.37500000,nonpuff
796.87500000,1078.12500000,1875.00000000,0.73913043,931.62718843,548.05306326,-383.57412517,42.73659725,-33.75463789,-656.25000000,-234.37500000,-1101.56250000,-0.33438308,408.16674890,272.10616807,-134.58522460,22.05469885,-12.20748316,0.54838710,0.82142857,0.62992126,0.68851526,1.77974708,1.98608164,1.54052700,2.06637691,1.56654734,101.95613852,69.96459693,65.86904861,78.34580602,312.50000000,43.14941806,42.67891066,2.35810985,3.86364949,98.39481978,99.55784543,4.36370419,7.93113736,1221.50000000,3096.50000000,909.00000000,2784.00000000,1705.87500000,nonpuff
1546.87500000,5296.87500000,6843.75000000,0.29203540,1387.29001762,1078.61868147,-308.67133616,58.27216231,-37.05915237,-23.43750000,3820.31250000,3726.56250000,-0.94219884,751.54835182,747.16615086,-9.31268625,33.60944329,-13.13958193,0.98507463,3.58730159,2.19548872,0.23661262,2.18215998,3.25421767,1.03110879,2.36276309,1.54932349,61.76779070,44.56554877,46.86881006,62.34731192,4437.50000000,48.16436755,48.32748661,0.95770883,1.46320003,1.85597002,2.33907389,2.61357294,2.33718596,4517.00000000,11360.75000000,79.50000000,6923.25000000,1626.37500000,nonpuff
1593.75000000,1500.00000000,3093.75000000,1.06250000,642.54843402,424.68103980,-217.86739422,26.12462502,-21.82352210,-140.62500000,-281.25000000,-492.18750000,-0.06097561,1.59907994,63.69558181,43.30533210,4.20499892,1.82944819,0.91891892,0.84210526,0.86274510,0.94572592,1.00249486,1.17644916,0.83418892,1.19183716,0.92265461,39.67549441,25.67970343,38.70857670,35.62582444,6625.00000000,55.96051272,56.38045246,1.27447574,1.65247407,126.56937509,124.67663729,4.56643613,5.52507484,6954.50000000,10048.25000000,329.50000000,3423.25000000,1923.25000000,nonpuff
1359.37500000,515.62500000,1875.00000000,2.63636364,809.54754406,225.81014460,-583.73739947,27.74453027,-13.53621479,-468.75000000,-1054.68750000,-1453.12500000,1.42803030,168.59818998,-138.25691606,-330.83548567,4.88593738,10.47009230,0.74358974,0.32835821,0.56338028,2.18181818,1.26304448,0.62024327,2.30815730,1.21374620,0.56386077,36.27579789,33.49920596,22.05904621,25.05638121,4875.00000000,64.73310027,64.55980595,0.77711073,0.86569053,55.65481562,55.40214770,2.63569256,2.76157107,6610.75000000,8485.75000000,1735.75000000,3610.75000000,3095.12500000,nonpuff
5812.50000000,4500.00000000,10312.50000000,1.29166667,954.34809630,686.50839761,-267.83969869,34.68153218,-28.54829796,3820.31250000,2929.68750000,6890.62500000,-0.00801282,313.39874222,322.78264374,-14.93778490,12.11355397,-4.54199086,2.91764706,2.86567164,3.01369863,0.99383477,1.48896023,1.88743412,1.05906553,1.53675849,1.18919990,36.54952927,12.63160664,42.93819943,48.35541069,4312.50000000,58.72925481,58.76330448,0.85243302,0.67274092,25.28378585,26.03721454,2.87486818,1.79416273,48.25000000,10360.75000000,-4264.25000000,6048.25000000,1548.25000000,nonpuff
2625.00000000,1125.00000000,3750.00000000,2.33333333,1286.60333358,605.65884614,-680.94448744,44.53351590,-28.14451226,1101.56250000,-679.68750000,281.25000000,1.47350519,615.32969047,245.31237197,-375.15792144,21.45245331,-2.42835747,1.72307692,0.62337662,1.08108108,2.71372059,1.91665999,1.68076807,2.22686201,1.92943959,1.09442926,132.52495632,117.48440459,69.84024770,134.08184657,812.50000000,64.08364521,64.33359398,2.39257919,2.79732589,111.95309800,113.60017131,4.68242531,6.71802868,3166.25000000,6916.25000000,2353.75000000,6103.75000000,4978.75000000,nonpuff
2625.00000000,1125.00000000,3750.00000000,2.33333333,1286.60333358,605.65884614,-680.94448744,44.53351590,-28.14451226,1101.56250000,-679.68750000,281.25000000,1.47350519,615.32969047,245.31237197,-375.15792144,21.45245331,-2.42835747,1.72307692,0.62337662,1.08108108,2.71372059,1.91665999,1.68076807,2.22686201,1.92943959,1.09442926,238.68866033,213.56004487,111.27063445,156.24287959,1812.50000000,72.92823081,73.30041039,6.19311598,8.12582179,-16.49603438,-14.83522189,33.34637897,44.21435248,1541.25000000,5291.25000000,-271.25000000,3478.75000000,2353.75000000,nonpuff
703.12500000,2953.12500000,3656.25000000,0.23809524,915.47983235,315.76264991,-599.71718244,29.73640305,-26.46735832,-281.25000000,1453.12500000,1406.25000000,-0.28139502,196.61868919,14.13127331,-224.48604665,7.67967543,-3.46905360,0.71428571,1.96875000,1.62500000,0.45832474,1.27351414,1.04684948,1.59826071,1.34817837,1.15083954,184.96450355,163.05094554,107.89525180,188.43250570,1937.50000000,34.88937542,34.46508984,2.75954878,4.47692561,21.09000225,21.18647384,5.37651118,6.22686936,4385.62500000,8041.87500000,2448.12500000,6104.37500000,3151.25000000,nonpuff
3843.75000000,3375.00000000,7218.75000000,1.13888889,1014.40602734,414.68884490,-599.71718244,29.70523709,-31.17298116,2765.62500000,1875.00000000,4968.75000000,0.61939863,313.83298796,117.74820194,-244.55382488,8.37330504,-8.17467644,3.56521739,2.25000000,3.20833333,2.19232003,1.44796612,1.39653784,1.68856716,1.39252446,1.35544691,157.18093833,100.08261835,121.87761614,152.34588865,1750.00000000,30.56127264,31.30760524,4.58737520,3.48521275,23.11397459,25.46783435,8.57088570,11.59980252,4541.87500000,11760.62500000,2791.87500000,10010.62500000,6635.62500000,nonpuff
3843.75000000,3375.00000000,7218.75000000,1.13888889,1014.40602734,414.68884490,-599.71718244,29.70523709,-31.17298116,2765.62500000,1875.00000000,4968.75000000,0.61939863,313.83298796,117.74820194,-244.55382488,8.37330504,-8.17467644,3.56521739,2.25000000,3.20833333,2.19232003,1.44796612,1.39653784,1.68856716,1.39252446,1.35544691,119.16398744,91.20356404,70.74968635,78.63453174,437.50000000,37.15280580,37.17257026,0.46653202,0.59668093,26.43522951,26.80004549,3.56219654,5.25899183,291.87500000,7510.62500000,-145.62500000,7073.12500000,3698.12500000,nonpuff
2109.37500000,1875.00000000,3984.37500000,1.12500000,907.96253362,537.35316543,-370.60936819,28.80972676,-31.38151970,1031.25000000,445.31250000,1734.37500000,0.60550975,207.38949424,240.41252246,7.10279789,7.47779471,-8.73344504,1.95652174,1.31147541,1.77083333,2.16558442,1.29602837,1.80963158,0.98119521,1.35054465,1.38561534,78.92690150,53.10812983,73.26153126,79.23915486,4750.00000000,48.37768157,50.05419524,2.83266498,5.10960629,10.01147323,7.36217743,6.76152019,7.14207818,5885.62500000,9870.00000000,1135.62500000,5120.00000000,3245.00000000,nonpuff
2015.62500000,890.62500000,2906.25000000,2.26315789,506.62684050,323.80548902,-182.82135148,19.36699491,-20.04422418,117.18750000,-398.43750000,-445.31250000,1.11921850,-73.50488699,-9.01586340,90.98513819,-2.80048158,1.70124383,1.06172840,0.69090909,0.86713287,1.97838968,0.87329621,0.97291080,0.66770277,0.87366710,0.92176559,56.19546533,42.07339568,45.14911104,42.05794580,2375.00000000,62.92641837,62.68782579,1.97144115,3.38632757,18.38056030,20.48545748,5.94932232,7.54379069,1024.37500000,3930.62500000,-1350.62500000,1555.62500000,665.00000000,nonpuff
1968.75000000,1453.12500000,3421.87500000,1.35483871,1023.60940600,437.92474740,-585.68465860,44.26735594,-21.98237193,93.75000000,210.93750000,164.06250000,0.15086584,467.84488084,135.76718697,-338.93548958,24.13904469,-0.83693814,1.05000000,1.16981132,1.05035971,1.12530668,1.84180414,1.44932580,2.37360337,2.19925832,1.03958009,14.17248642,13.02415624,10.04961438,12.50715225,4687.50000000,52.73794792,52.85401569,0.42694223,0.44813861,-20.32242821,-20.61511449,1.09136013,1.40431288,10571.25000000,13993.12500000,5883.75000000,9305.62500000,7852.50000000,nonpuff
890.62500000,2437.50000000,3328.12500000,0.36538462,984.59332216,137.34021182,-847.25311034,45.06143647,-13.93407215,-187.50000000,1406.25000000,1031.25000000,-0.31297507,352.69004729,-104.23488482,-566.30414675,21.88338684,5.00087686,0.82608696,2.36363636,1.44897959,0.53862962,1.55813929,0.56851974,3.01568335,1.94414272,0.73589172,48.94607696,13.76645433,66.79412904,53.82244683,4687.50000000,52.48844650,52.56184836,0.73729772,0.44551114,-53.05199340,-54.76682426,5.80836533,1.26013345,6290.00000000,9618.12500000,1602.50000000,4930.62500000,2493.12500000,nonpuff
5015.62500000,3375.00000000,8390.62500000,1.48611111,1955.91372011,1268.86366127,-687.05005884,66.83752728,-48.32496636,3796.87500000,2085.93750000,5906.25000000,0.38221501,1326.90248606,932.43292894,-276.13070525,46.26723154,-25.60127024,4.11538462,2.61818182,3.37735849,1.34624183,3.10950523,3.77154504,1.67198272,3.24922539,2.12663319,69.76681064,38.71761851,70.31979649,84.19403408,3187.50000000,47.97548049,48.04516802,3.36691782,1.44787750,63.64729744,61.87889297,6.41008596,2.09283044,1333.25000000,9723.87500000,-1854.25000000,6536.37500000,3161.37500000,puff
1734.37500000,1359.37500000,3093.75000000,1.27586207,1469.49666059,1185.23261233,-284.26404825,58.99178528,-53.42269916,632.81250000,140.62500000,773.43750000,0.12548613,875.18423389,950.36392622,119.22997991,38.86008634,-29.03239414,1.57446809,1.11538462,1.33333333,1.10908271,2.47259959,5.04636285,0.70450621,2.93029344,2.19032518,148.81996154,139.96655806,56.14125266,64.70656121,4000.00000000,59.23068918,59.55361953,3.46761456,5.56903306,87.79638036,87.48938502,6.44633261,8.95494970,3802.00000000,6895.75000000,-198.00000000,2895.75000000,1536.37500000,puff
1734.37500000,1875.00000000,3609.37500000,0.92500000,1103.26824548,822.57183457,-280.69641091,47.27796265,-36.86335725,796.87500000,773.43750000,1382.81250000,0.07500000,349.12822416,509.76156976,192.45725885,23.13325682,-5.64573589,1.85000000,1.70212766,1.62105263,1.08823529,1.46294881,2.62961906,0.59324577,1.95810887,1.18085093,429.62345187,441.70322134,168.34967969,206.89019104,2625.00000000,61.50747673,61.76470545,5.60401894,6.29079290,72.65683800,72.56338124,4.79432507,5.42182395,2442.62500000,6052.00000000,-182.37500000,3427.00000000,1552.00000000,puff
3187.50000000,1312.50000000,4500.00000000,2.42857143,1563.79552125,904.79034156,-659.00517969,40.08038096,-47.37166881,2203.12500000,257.81250000,2437.50000000,1.53087322,895.17002227,622.27400002,-301.23049896,16.62407791,-17.36188512,3.23809524,1.24444444,2.18181818,2.70533171,2.33882124,3.20261241,1.84195589,1.70872541,1.57854083,178.99721209,182.72516574,57.56114084,64.44177032,2187.50000000,63.95796265,64.50391033,2.81722201,2.88624182,77.40898085,77.19783817,8.56330152,7.64888518,942.62500000,5442.62500000,-1244.87500000,3255.12500000,1942.62500000,puff
2625.00000000,984.37500000,3609.37500000,2.66666667,1385.90961364,959.23274766,-426.67686598,38.83954023,-50.56632622,1640.62500000,23.43750000,1640.62500000,1.59404762,800.53526645,756.99267017,-77.33785239,17.32332782,-26.72175729,2.66666667,1.02439024,1.83333333,2.48612653,2.36756124,4.74303985,1.22138338,1.80512906,2.12066431,178.21238587,161.33578182,88.23920790,156.05015115,2375.00000000,65.54352417,66.05921149,2.57410120,2.50273852,58.13692803,58.45163205,7.27767782,8.88784704,1833.25000000,5442.62500000,-541.75000000,3067.62500000,2083.25000000,puff
3937.50000000,1359.37500000,5296.87500000,2.89655172,1829.26814138,986.68117375,-842.58696763,37.22499033,-50.10848739,3046.87500000,398.43750000,3562.50000000,1.97336332,1226.31122716,738.80149215,-496.23339575,15.81978412,-25.41625784,4.42105263,1.41463415,3.05405405,3.13755210,3.03382895,3.98048427,2.43273648,1.73906245,2.02932211,126.69992200,119.81537958,53.21696270,85.45903369,2750.00000000,65.83888503,65.95622023,3.26979954,4.04069763,63.66795966,61.50956252,8.32983221,9.29162800,1005.12500000,6302.00000000,-1744.87500000,3552.00000000,2192.62500000,puff
4312.50000000,984.37500000,5296.87500000,4.38095238,1412.31858437,807.04435048,-605.27423389,30.99035342,-46.08397836,3421.87500000,46.87500000,3585.93750000,3.48214286,838.51993234,550.97831396,-242.40319852,10.75137860,-22.74685670,4.84210526,1.05000000,3.09589041,4.87417219,2.46134873,3.15170400,1.66801473,1.53122150,1.97470704,154.04487456,152.15991044,62.48310203,74.84733845,2437.50000000,65.69536433,66.89027378,4.06342416,7.46823918,63.96940541,63.36254385,9.88425563,10.62029664,911.37500000,6208.25000000,-1526.12500000,3770.75000000,2786.37500000,puff
3281.25000000,1640.62500000,4921.87500000,2.00000000,1598.36087442,1030.54555289,-567.81532153,44.44485858,-47.71947124,2296.87500000,656.25000000,2953.12500000,0.98684211,906.67843699,740.53338124,-192.22760508,18.94523036,-21.64780505,3.33333333,1.66666667,2.50000000,1.97402597,2.31083050,3.55345621,1.51180482,1.74296104,1.83031920,106.60059795,85.12912868,58.05956247,65.74120290,2687.50000000,65.82673738,65.88705512,4.15996970,6.09652818,69.27038596,66.32069823,11.74408670,10.38360724,1442.62500000,6364.50000000,-1244.87500000,3677.00000000,2036.37500000,puff
3750.00000000,1875.00000000,5625.00000000,2.00000000,1945.74171051,1335.85323130,-609.88847921,65.51169777,-54.02173295,2789.06250000,867.18750000,3679.68750000,1.00000000,1280.31360863,1004.11730692,-222.78465485,39.62324303,-28.75125118,3.90243902,1.86046512,2.89156627,2.00000000,2.92404499,4.02685731,1.57551654,2.53053720,2.13774052,152.58050052,142.26984702,89.59371472,89.01916043,3250.00000000,60.69119136,64.15554312,15.52113135,5.18560917,68.43700524,66.51573981,10.08036895,9.70232136,911.37500000,6536.37500000,-2338.62500000,3286.37500000,1411.37500000,puff
3796.87500000,1218.75000000,5015.62500000,3.11538462,1736.79957895,1102.17951703,-634.62006192,60.86532038,-48.45935597,2835.93750000,210.93750000,3300.06250000,2.16083916,1071.37147707,846.86515575,-235.30259840,35.90708120,-23.23977310,3.95121951,1.20930233,2.92360377,3.26373626,2.61004844,4.31695072,1.58926198,2.43868648,1.92149712,125.17602940,123.92911445,44.79297757,61.95336754,3625.00000000,67.87967391,67.65055005,2.63811401,3.36930274,66.29317714,65.05287694,9.30125253,8.64343219,1248.75000000,6264.37500000,-2376.25000000,2639.37500000,1420.62500000,puff
3750.00000000,1640.62500000,5390.62500000,2.28571429,1995.61794520,1281.68110129,-713.93684391,56.22118370,-58.40428021,3117.18750000,679.68750000,3656.25000000,1.63659148,1361.04814251,1027.05598310,-365.20595675,35.35861453,-33.73927878,5.92592593,1.70731707,3.10810811,3.52123552,3.14483598,5.03360042,2.04724293,2.69483510,2.36790095,129.33973587,128.31437125,50.10999792,67.14630167,3312.50000000,66.63524449,66.57449992,2.77146664,4.36117385,72.50694479,69.42478105,10.17764051,10.49362708,1326.87500000,6717.50000000,-1985.62500000,3405.00000000,1764.37500000,puff
