@relation LR_2class_5

@attribute Roll numeric
@attribute Pitch numeric

@attribute class {L,R}

@data
45.30354926,-90.36806106,L
42.30428525,-89.34519397,L
37.40768901,-83.11435504,L
31.19738943,-77.09528039,L
24.82892196,-75.41543604,L
22.73662135,-72.97269503,L
32.77064141,-78.42289379,L
34.41856081,-79.05367625,L
38.41252463,-81.22441440,L
40.88882427,-84.17117376,L
46.37822924,-88.39620107,L
55.09350633,-94.29188528,L
58.14510864,-99.53004634,L
60.50952037,-91.92289559,L
58.55826979,-87.01226071,L
55.36626258,-88.69056231,L
47.65032717,-85.50603057,L
40.99279164,-81.14488298,L
42.36347717,-86.48309251,L
44.91753501,-88.43893045,L
43.61881870,-87.17949932,L
46.40713839,-88.71498027,L
51.65766496,-93.67825183,L
50.93878254,-96.48928047,L
50.69452796,-96.87414067,L
50.19338535,-94.70987518,L
49.98805577,-93.33789200,L
49.67840328,-91.12906645,L
49.28744967,-88.76350610,L
49.88640093,-86.91166325,L
50.89006138,-88.16600326,L
51.62043142,-88.40485715,L
53.27465137,-88.95646685,L
54.68754212,-90.51801226,L
54.80047090,-94.51210226,L
54.61200474,-94.36015008,L
52.31944131,-91.92543360,L
46.07107440,-89.86340718,L
40.48529503,-88.11702242,L
39.03885278,-81.63403319,L
38.35305938,-74.01135366,L
41.42921291,-64.47444204,L
45.90771652,-47.76062648,L
51.25472559,-29.00946504,L
45.43336060,-15.53367455,L
42.50560022,-7.98646206,L
40.58501624,-1.90917238,L
41.32303984,-0.24855214,L
41.48743961,-0.19791998,L
53.21840083,2.99306415,L
57.53859839,4.13960795,L
58.84301807,2.74567958,L
55.86523691,0.74073755,L
48.57533609,-0.73027797,L
37.41340516,-1.28057098,L
37.65670930,0.42820864,L
35.78699068,1.54007350,L
36.56828804,1.97759822,L
38.26983703,3.68758957,L
39.56762775,3.70183263,L
35.43696428,1.97307604,L
35.58883209,1.09296584,L
35.86093843,1.48150062,L
36.63181431,-0.08302401,L
35.74611216,-0.56823486,L
37.06243583,-0.77581467,L
36.92582298,-6.43701559,L
29.30133917,-23.63480206,L
16.18006923,-41.15649982,L
3.05552955,-58.71964653,L
-9.13797278,-70.34043101,L
-16.27696177,-75.65542405,L
-15.85355291,-75.50167126,L
-15.56819928,-75.35811500,L
-15.47496421,-75.33586998,L
43.32393433,-63.58852663,L
45.40178410,-55.21917793,L
39.46404330,-58.71361680,L
43.01398279,-62.42903273,L
55.05811774,-54.88239902,L
65.65855749,-47.01679066,L
71.54651239,-59.32397353,L
78.84099409,-54.22173016,L
80.74175403,-111.58518903,L
78.18279003,-118.36188099,L
76.50446430,-91.39477104,L
75.92056365,-83.56948754,L
79.13109206,-104.65916925,L
83.60027800,-70.10490222,L
84.20482730,-55.56995642,L
86.24468541,-69.20438195,L
84.55003004,-95.12367390,L
85.46000190,-112.44468779,L
73.80721596,-94.54173855,L
