@relation LR_2class_20

@attribute Roll numeric
@attribute Pitch numeric

@attribute class {L,R}

@data
39.26750406,-84.15164445,L
39.50736440,-83.47088867,L
39.15602053,-83.21100467,L
38.44326036,-83.12116499,L
38.54383707,-82.93383691,L
39.44216155,-83.75869006,L
39.92777085,-83.89026182,L
41.91683874,-83.86197547,L
41.48927890,-84.78628549,L
42.00338705,-85.38674969,L
41.67989579,-81.82243592,L
40.99272523,-81.13999859,L
42.47783644,-82.98853052,L
41.30196332,-83.10926854,L
42.03743774,-82.67645702,L
43.88416027,-83.96370830,L
45.38934909,-85.32585192,L
46.52557264,-86.43471137,L
46.93145420,-87.11976387,L
47.68856358,-88.10411153,L
48.17432008,-88.77827698,L
48.52922437,-89.65574884,L
49.25594993,-90.13291351,L
50.25193038,-90.59542248,L
50.68552164,-91.01985708,L
50.71328005,-90.29896583,L
50.79736079,-90.27014549,L
48.86848040,-89.45993889,L
49.05744725,-88.60038319,L
49.46446033,-88.47057747,L
49.50145549,-90.63281089,L
50.19219773,-91.31657799,L
49.85194356,-90.70310267,L
50.19435191,-90.46612628,L
49.41245980,-90.82193109,L
48.84135978,-90.56116549,L
48.63913595,-89.01241290,L
49.50284102,-86.16313151,L
49.84719168,-82.13142839,L
50.84708141,-78.51014505,L
51.84239245,-74.59256407,L
51.84862430,-69.05083992,L
52.81325179,-64.67336469,L
52.71929701,-58.54299258,L
53.88772489,-54.20232964,L
54.97548608,-50.03014073,L
55.65012034,-46.17004160,L
56.42964978,-41.73479056,L
55.07085698,-35.95555823,L
52.69947422,-30.75064862,L
50.30333200,-25.19525419,L
48.81904756,-20.72162191,L
47.76112732,-16.47159357,L
47.22624390,-11.85362422,L
46.50131916,-7.04115294,L
44.58759030,-3.20053618,L
43.58212471,-0.66626327,L
42.69368458,0.00905762,L
42.60112415,0.90849703,L
41.81079733,1.01065919,L
41.21570004,0.84986003,L
41.66725183,1.23282586,L
41.49122289,0.81261965,L
41.33104740,-2.29756425,L
38.74130218,-6.53158116,L
35.67676446,-10.96639817,L
32.52416188,-14.62648257,L
28.43590842,-18.12160124,L
27.25949856,-21.37717498,L
25.93423319,-24.45466721,L
24.62901372,-28.60847296,L
22.43770610,-31.27708573,L
20.51394259,-32.97471576,L
19.03360785,-35.32608821,L
17.47448767,-37.28253121,L
17.77620342,-41.18879964,L
16.05826754,-47.07387471,L
16.77616029,-50.33126209,L
15.34409531,-54.03743721,L
15.19825255,-57.92273950,L
16.26637824,-60.32768611,L
18.51068956,-64.44086167,L
20.91673162,-69.22968274,L
25.34824650,-69.08310914,L
33.13568246,-68.85231696,L
42.02461582,-69.65654712,L
49.41327771,-69.66914652,L
56.01324456,-66.93019597,L
61.12261646,-67.10000643,L
66.22089285,-68.55630190,L
70.57809123,-65.40304288,L
72.83251892,-64.69879289,L
72.52768624,-64.15668895,L
73.52560372,-67.79388432,L
73.47839253,-74.03386058,L
72.18704523,-74.98409672,L
74.41216336,-71.63914272,L
73.43638684,-64.53679465,L
75.48224599,-62.13561126,L
76.05308312,-52.92547317,L
74.50412549,-50.15230858,L
72.09375401,-45.89340706,L
69.28268603,-40.36472827,L
68.35484781,-34.60543926,L
66.41130435,-30.07317187,L
63.87799146,-26.37146843,L
61.18590598,-22.79172999,L
58.86039939,-20.83201361,L
55.79688409,-18.07855652,L
52.71779485,-16.60618068,L
51.53139061,-15.90342419,L
49.59894561,-13.95373429,L
47.47674914,-11.70569951,L
43.52688425,-10.42303658,L
41.94669409,-11.95312895,L
42.27131035,-11.91570693,L
42.89971395,-13.27134519,L
43.61747487,-15.88614074,L
41.96000221,-19.93303965,L
44.20408371,-20.17169281,L
44.48609442,-23.33668728,L
44.80994287,-26.63405546,L
46.08306557,-30.13537422,L
47.53636496,-34.40570712,L
48.30148425,-38.68520286,L
48.02035242,-43.03955142,L
48.88848607,-47.98170072,L
50.26688819,-53.30701350,L
50.77100075,-58.51047218,L
51.24103667,-62.81746843,L
49.04296964,-66.50957566,L
46.27962978,-70.06733211,L
43.99280949,-74.04780228,L
42.48712580,-77.94723302,L
41.93072512,-77.59585471,L
41.02516778,-78.08299367,L
39.24848210,-77.61124110,L
39.02837069,-76.03912930,L
40.13248283,-75.81740958,L
37.88994687,-75.67889921,L
39.57899299,-75.99245671,L
38.50608015,-76.09009383,L
37.81689184,-74.80819586,L
37.13780912,-71.83745793,L
38.23306855,-71.11635338,L
38.33880108,-70.36206697,L
37.44357628,-69.60199147,L
35.89292387,-68.37860612,L
36.30621221,-66.63400921,L
35.90767736,-62.57988087,L
37.76566598,-57.41224311,L
38.58305056,-51.70757106,L
39.78979047,-45.05271410,L
40.88169887,-38.44500143,L
41.92489019,-32.32347832,L
42.51107930,-25.98496142,L
44.24220028,-19.96288740,L
45.81123011,-15.76849531,L
48.06188562,-11.36834518,L
47.77182809,-6.52874276,L
45.71005254,-2.52549086,L
45.86971413,2.46114948,L
44.53398091,4.61156406,L
44.51829291,5.40470052,L
41.43471093,4.56953253,L
40.57603713,3.63515148,L
40.28100717,3.04295087,L
39.91694995,2.82703617,L
38.79039881,2.94063624,L
38.43839686,3.16453240,L
38.29536772,3.21732581,L
39.84590416,4.29607603,L
41.65451673,4.24554033,L
41.86708933,4.18174734,L
41.62850273,4.36979751,L
41.64816935,4.43174680,L
40.63222136,4.50586710,L
39.61964918,4.08329903,L
38.11120499,3.55674540,L
38.33968651,1.28718101,L
38.30653916,-0.16125949,L
37.39274991,-0.03901394,L
37.72547273,-0.00128615,L
37.85541265,-0.36049345,L
38.61257258,-0.14154980,L
39.35586116,0.33140173,L
39.44868527,0.89161205,L
39.51759027,1.01735394,L
39.99064157,0.91437624,L
40.30890709,0.83455213,L
40.57374879,0.61714960,L
39.85252920,0.51197316,L
38.31013035,0.70850727,L
38.03561915,1.26931154,L
37.66835777,0.97345528,L
37.45045511,0.63756769,L
