@relation O_2class_10

@attribute Roll numeric
@attribute Pitch numeric

@attribute class {C,I}

@data
43.10193126,-87.05245256,C
41.23378293,-85.42711224,C
38.16422560,-82.89839815,C
35.44912861,-82.79896658,C
33.25257574,-81.50197191,C
29.76762244,-77.77627519,C
28.29487585,-74.70391355,C
28.10313124,-75.67913884,C
26.93041540,-76.60176431,C
29.97829275,-76.88680949,C
34.49930940,-79.82998800,C
38.31113856,-82.09116888,C
46.24091432,-85.11576874,C
46.95136368,-86.92523029,C
48.54272101,-89.09044062,C
49.61278014,-85.47105817,C
49.34052977,-87.10317591,C
51.87212745,-90.13841072,C
51.05757464,-89.54564572,C
50.85108710,-88.62604054,C
51.16712935,-88.21136186,C
51.11167870,-88.68190418,C
46.73672516,-87.47221304,C
46.91482587,-87.29002433,C
46.87169380,-87.18782021,C
46.79293858,-91.66247853,C
47.75937698,-91.90524533,C
46.92395063,-90.12860851,C
49.55992327,-91.49960222,C
50.52207836,-93.03539557,C
50.32816850,-92.01732071,C
50.51450253,-91.56721424,C
50.69830882,-91.34821279,C
50.93070629,-89.84846008,C
51.75529189,-89.72489037,C
52.05963957,-89.55659885,C
52.55429698,-90.69225975,C
52.74844075,-91.33538679,C
50.84172741,-89.39016415,C
48.19513370,-88.60974508,C
47.23359947,-89.11308903,C
46.50897762,-86.42503468,C
47.85888806,-80.60330148,C
47.91711618,-73.55091655,C
48.39407421,-65.94120924,C
49.01898613,-57.11106023,C
46.08123066,-45.87570765,C
45.53791286,-36.60048886,C
45.20311279,-26.32976217,C
47.61879358,-16.46211995,C
47.54279285,-8.38514432,C
48.69064339,-3.34493317,C
50.64751448,-1.51112483,C
49.76210015,0.17337716,C
47.26598343,-0.10542231,C
44.63691186,-0.08202132,C
46.55574346,1.32922348,C
46.68215818,1.60768967,C
47.40336757,1.77910739,C
44.77514037,1.39007644,C
41.51857262,1.33927746,C
38.66511335,1.49194161,C
35.25816788,1.11107236,C
35.88223939,1.45963690,C
36.61526889,1.90664851,C
37.95289000,1.65031230,C
37.03962460,1.15403396,C
36.68274967,0.17821107,C
35.18428731,-5.68932845,C
31.61596908,-13.84326027,C
27.29966901,-23.50005503,C
21.82359259,-32.57522585,C
15.18869873,-41.13152819,C
9.37069643,-48.78147953,C
3.37758852,-55.51227431,C
-3.12420091,-62.73343778,C
-8.39149709,-69.44513758,C
-13.96515267,-74.38325041,C
-15.77241284,-75.62562885,C
25.45753818,-63.79640394,C
33.39705565,-62.20465677,C
44.48928283,-55.43119103,C
54.16792029,-53.23474876,C
60.85145288,-57.18616470,C
60.11934324,-57.55420093,C
62.05393452,-62.81686878,C
66.17340529,-68.52952548,C
72.79803817,-68.09458543,C
72.29598544,-65.19978943,C
77.04373311,-73.20009356,C
82.03759780,-89.24895864,C
83.03858212,-100.72804063,C
82.26468710,-96.79819577,C
79.80734976,-77.24622450,C
81.95630700,-95.42428533,C
81.12119656,-101.83983023,C
76.90332843,-84.61740811,C
75.78426796,-75.43425419,C
74.52088867,-63.81839755,C
73.47115425,-53.29580984,C
67.84183868,-40.09872316,C
62.32763595,-37.97410699,C
57.66533355,-33.95224470,C
54.94333256,-28.68630819,C
48.42409363,-23.04526199,C
44.19853470,-17.84057159,C
44.80072744,-11.43092026,C
42.43965372,-9.00601238,C
41.16332813,-8.62224270,C
38.00648958,-7.86578651,C
37.94251641,-7.14455899,C
40.34113329,-4.64274043,C
40.70555640,-1.95551762,C
39.85239228,-1.23545873,C
38.33288221,-1.19390577,C
39.48683191,-6.61453343,C
39.60956830,-12.38391832,C
43.22715325,-18.11883975,C
45.84238328,-24.97778119,C
44.82817375,-36.08896327,C
49.41445672,-39.95922099,C
44.87856562,-48.77441370,C
42.14962002,-57.45597402,C
42.82796094,-66.59518814,C
44.07797093,-75.85271722,C
46.09008410,-75.88900705,C
46.71456231,-77.08870689,C
46.43848362,-77.32088216,C
47.93596472,-79.34325702,C
51.81144896,-80.70470718,C
49.39551250,-81.16102260,C
50.18370700,-82.15114867,C
48.58050953,-82.13224247,C
44.64169120,-81.04166321,C
40.89657315,-79.90980558,C
37.62063612,-79.12824341,C
34.89059146,-78.97126385,C
31.41436411,-77.86228126,C
29.06016332,-73.24738813,C
26.76126496,-72.02325719,C
24.64594513,-71.27870912,C
26.82924924,-70.85775320,C
27.07042400,-71.18094369,C
29.71503722,-69.09636579,C
32.12588422,-63.48249306,C
38.21824642,-61.40613946,C
41.68582532,-58.17411072,C
45.02515956,-54.71706096,C
47.34155177,-57.26833210,C
53.34989195,-51.42863741,C
55.07758744,-34.68215694,C
51.66823068,-19.47941011,C
46.81476935,-4.12409381,C
42.24995393,1.10532938,C
41.76623982,2.94754423,C
36.40122319,2.20797412,C
35.52249109,1.57081478,C
37.71650077,1.94937852,C
39.39446452,3.13796416,C
41.40158356,3.57571830,C
42.28077015,3.95106912,C
41.92683238,4.68544099,C
45.18816118,6.09893221,C
45.80528576,6.84247371,C
46.14865442,7.02540389,C
44.73235033,6.36121392,C
44.39477322,5.44249968,C
42.43181644,4.03966027,C
40.38481332,2.53957461,C
36.39973798,2.39767333,C
34.99380539,2.52454858,C
35.03550848,2.01966159,C
35.00044709,2.89213773,C
37.77926247,2.12598650,C
37.81126005,1.84530506,C
38.71494523,2.67978190,C
39.09859953,3.56931569,C
38.95094321,4.92038642,C
38.87128117,5.52821459,C
39.80522069,4.76735552,C
41.79165523,-0.11881696,C
41.69544252,-2.66940286,C
39.79172319,-3.27333971,C
37.63196227,-2.15771201,C
37.85840471,-2.60829611,C
38.43617124,-3.03162203,C
39.52583509,-3.07899654,C
39.81647145,-3.39719746,C
40.00170124,-3.81360507,C
40.04528634,-3.08742395,C
38.82667050,1.74304379,C
39.38447685,3.74424321,C
39.79017769,4.30685409,C
38.92312142,3.66332253,C
38.08280519,5.23537008,C
36.75633877,4.92994877,C
35.30265725,4.09279989,C
34.02915118,3.71350257,C
32.96670728,3.58755911,C
30.91574523,3.11220761,C
31.68195862,2.93805578,C
29.30887934,2.51491157,C
27.88852695,1.54606862,C
27.38122519,1.20480737,C
28.33322432,-0.07268913,C
28.81739960,-0.00685462,C
28.24723459,-3.29881171,C
29.73289358,-6.62621637,C
31.24194409,-7.41801102,C
32.31332426,-10.59327097,C
29.48655582,-14.30347736,C
29.18654243,-19.02417085,C
30.80743672,-20.28166088,C
34.15449766,-24.98881181,C
35.94388665,-30.76508523,C
34.40200452,-40.33327301,C
36.35384007,-44.03475587,C
35.39578408,-47.98957923,C
32.29307799,-54.89903295,C
30.07371075,-59.93555111,C
30.59528112,-63.84705564,C
32.27621691,-66.69910513,C
28.47458499,-74.56466178,C
23.96741428,-75.47797127,C
20.93869710,-77.45596773,C
23.08816053,-78.87009272,C
21.00088762,-80.58348161,C
21.98149841,-82.45212629,C
24.11538803,-85.05571618,C
24.87988757,-86.16146671,C
29.64949547,-89.65131339,C
29.94200981,-88.59973018,C
31.87867593,-85.75348467,C
34.78090441,-83.84804921,C
38.98016419,-77.79253236,C
44.56007911,-78.83400453,C
53.91268933,-86.82128427,C
62.09084923,-97.63203416,C
70.56728116,-115.16792794,C
74.69975285,-152.51684165,C
75.62286367,-175.77686746,C
76.95011210,168.75072705,C
75.08884183,158.43120489,C
66.62217422,146.34050182,C
59.22945675,146.65293502,C
57.26671878,138.99499409,C
61.83895888,136.95212719,C
68.52669973,130.33681788,C
75.26071149,121.77571444,C
78.54248518,101.15737819,C
81.72403818,79.35329964,C
83.14475421,73.43668845,C
87.25793889,57.02774410,C
80.39670827,-24.24516184,C
69.54556466,-15.08236312,C
61.92441526,-16.74625457,C
55.28681771,-16.79798475,C
50.99091628,-10.30953105,C
44.69147620,-3.02655905,C
36.39059532,-2.51639731,C
27.33244307,-2.46700610,C
21.45734125,-0.38249370,C
15.38273401,3.73805440,C
11.05672903,5.27264228,C
10.15939863,5.91868199,C
9.00457273,5.46561108,C
6.95882559,8.11641051,C
4.77255354,8.18663131,C
4.19613755,7.54035020,C
4.18587705,7.75690924,C
4.41418339,8.15069274,C
5.05225918,6.63543889,C
9.26702570,3.87515596,C
29.72459974,-71.95025670,C
28.88189102,-75.05364447,C
28.33427688,-77.63174096,C
27.66025454,-78.86607748,C
24.66372266,-81.31039436,C
21.78427777,-80.13358470,C
21.49050844,-80.02299148,C
20.66488232,-79.62246542,C
20.21743562,-79.04009637,C
23.73872679,-76.19523274,C
25.71997295,-74.79690243,C
25.03681364,-73.76702409,C
28.67947303,-69.38714529,C
31.78680477,-63.95622479,C
31.17568751,-55.19627436,C
